id_hecho;n_victimas;fecha;aaaa;mm;dd;hora;hh;direccion_normalizada;calle;altura;cruce;otra_direccion;comuna;tipo_de_calle;geocodificacion_caba;longitud;latitud;participantes;victima;contraparte;gravedad;tipo_de_dato
LC-2020-0129020;1;2020-02-28;2020;2;28;01:30:00 p.m.;13;AIZPURUA y LE BRETON, TOMAS A.;AIZPURUA;0;LE BRETON, TOMAS A.;SD;12;CALLE;Point (96838.3807211436 106013.637320317);-58.497755681314;-34.575055497097;MOTO-CAMION;MOTO;CAMION;SD;definitivo
LC-2020-0128569;2;2020-02-28;2020;2;28;11:10:00 a.m.;11;PAZ, GRAL. AV. 3088;PAZ, GRAL. AV.;3088;;SD;12;AV. GRAL. PAZ;Point (97032.117067529 108961.29142427);-58.49563381286;-34.548484500888;MOTO-SD;MOTO;SD;SD;definitivo
LC-2020-0134817;1;2020-03-02;2020;3;2;02:30:00 p.m.;14;BLANCO ENCALADA y PACHECO;BLANCO ENCALADA;0;PACHECO;SD;12;CALLE;Point (98138.2861238966 106142.673354344);-58.483588655052;-34.573895552498;MOVIL-AUTO;MOVIL;AUTO;SD;definitivo
LC-2020-0133076;1;2020-03-02;2020;3;2;10:55:00 p.m.;22;MONROE y ALVAREZ THOMAS AV.;MONROE;0;ALVAREZ THOMAS AV.;SD;12;AVENIDA;Point (98237.4682485594 106343.833425456);-58.482507325220;-34.572082381343;PEATON-AUTO;PEATON;AUTO;SD;definitivo
LC-2020-0140958;1;2020-03-04;2020;3;4;05:00:00 a.m.;5;PAZ, GRAL. AV. y DE LOS CONSTITUYENTES AV.;PAZ, GRAL. AV.;0;DE LOS CONSTITUYENTES AV.;SD;12;AV. GRAL. PAZ;Point (95720.9483675134 106663.037560225);-58.509930461176;-34.56919739421;MOTO-AUTO;MOTO;AUTO;SD;definitivo
LC-2020-0143123;1;2020-03-05;2020;3;5;02:00:00 p.m.;14;JURAMENTO 4367;JURAMENTO;4367;;SD;12;CALLE;Point (98851.0126579394 106229.208184404);-58.475821145318;-34.573116569033;MOTO-AUTO;MOTO;AUTO;SD;definitivo
LC-2020-0145116;1;2020-03-06;2020;3;6;10:20:00 a.m.;10;OLAZABAL AV. y ALVAREZ THOMAS AV.;OLAZABAL AV.;0;ALVAREZ THOMAS AV.;SD;12;AVENIDA;Point (98406.219883286 106187.134871232);-58.480668591644;-34.573495220315;MOTO-AUTO;MOTO;AUTO;SD;definitivo
LC-2020-0148343;2;2020-03-07;2020;3;7;02:00:00 p.m.;14;PAZ, GRAL. AV. y SUPERI;PAZ, GRAL. AV.;0;SUPERI;SD;12;AV. GRAL. PAZ;Point (97850.5741709057 109546.394283786);-58.486715357861;-34.543212165100;AUTO-SD;AUTO;SD;SD;definitivo
LC-2020-0148824;1;2020-03-07;2020;3;7;09:45:00 p.m.;21;JURAMENTO 5883;JURAMENTO;5883;;SD;12;CALLE;Point (97464.004462412 105176.072820358);-58.490940011205;-34.582607456837;MOTO-AUTO;MOTO;AUTO;SD;definitivo
LC-2020-0147417;1;2020-03-07;2020;3;7;11:00:00 p.m.;23;PAZ, GRAL. AV. 4998;PAZ, GRAL. AV.;4998;;SD;12;AV. GRAL. PAZ;Point (95822.8362830975 106576.966601778);-58.508820564507;-34.569973703018;MOTO-MOTO;MOTO;MOTO;SD;definitivo
LC-2020-0148151;1;2020-03-07;2020;3;7;01:30:00 a.m.;1;MANZANARES y PINTO;MANZANARES;0;PINTO;SD;12;CALLE;Point (98791.9778606779 108682.04912151);-58.476460866139;-34.551005397854;PEATON-AUTO;PEATON;AUTO;SD;definitivo
LC-2020-0150065;1;2020-03-08;2020;3;8;06:00:00 p.m.;18;PAZ, GRAL. AV. y DONADO;PAZ, GRAL. AV.;0;DONADO;SD;12;AV. GRAL. PAZ;Point (97098.4846862323 109019.961066261);-58.494910546091;-34.547955815971;MOTO-AUTO;MOTO;AUTO;GRAVE;definitivo
LC-2020-0149612;7;2020-03-08;2020;3;8;12:42:00 p.m.;12;PAZ, GRAL. AV. 5172;PAZ, GRAL. AV.;5172;;SD;12;AV. GRAL. PAZ;Point (95716.9371022667 106295.479051581);-58.509976049364;-34.572510722512;SD-SD;SD;SD;SD;definitivo
LC-2020-0152396;1;2020-03-09;2020;3;9;05:30:00 p.m.;17;MONROE 4400;MONROE;4400;;SD;12;CALLE;Point (98568.4082364093 106555.576580647);-58.478900405959;-34.570174160432;PEATON-AUTO;PEATON;AUTO;SD;definitivo
LC-2020-0155450;1;2020-03-10;2020;3;10;06:30:00 p.m.;18;LE BRETON, TOMAS A. y CAPDEVILA;LE BRETON, TOMAS A.;0;CAPDEVILA;SD;12;CALLE;Point (97583.4167008674 106508.294545319);-58.489634631483;-34.570598486553;AUTO-AUTO;AUTO;AUTO;SD;definitivo
LC-2020-0156235;1;2020-03-11;2020;3;11;12:00:00 a.m.;0;LE BRETON, TOMAS A. y BUCARELLI;LE BRETON, TOMAS A.;0;BUCARELLI;SD;12;CALLE;Point (97378.3558382508 106372.069866369);-58.491869752092;-34.571825966509;MOTO-AUTO;MOTO;AUTO;SD;definitivo
LC-2020-0160015;1;2020-03-12;2020;3;12;12:00:00 p.m.;12;PAZ, GRAL. AV. y ZAPIOLA;PAZ, GRAL. AV.;0;ZAPIOLA;SD;12;AV. GRAL. PAZ;Point (98376.4418966902 109821.711383256);-58.480985943801;-34.540731307118;CAMION-SD;CAMION;SD;SD;definitivo
